DATE,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection
2020-03-12,30.137777777777778,36.82857142857143,44.51428571428571,74.77142857142857,30.134062499999995,30.10542857142858,9.729142857142856,41.08571428571429,46.57142857142857
2020-03-13,29.873529411764704,42.270270270270274,55.45,66.325,29.877333333333333,29.840000000000003,6.44975,48.625,198.46153846153845
2020-03-14,30.288333333333338,21.862068965517242,49.06896551724138,34.55172413793103,30.290344827586203,30.260689655172417,9.989655172413793,38.58620689655172,311.37931034482756
2020-03-15,30.435,19.0,46.59375,34.5625,30.43156249999999,30.402580645161294,9.985,36.354838709677416,190.9375
2020-03-16,30.522222222222226,21.65714285714286,39.34285714285714,50.4,30.53375000000001,30.494285714285713,9.986285714285714,33.2,77.6470588235294
2020-03-17,30.177575757575752,38.390243902439025,47.73170731707317,71.34146341463415,30.187187499999997,30.14878048780488,9.690731707317074,43.41463414634146,185.85365853658536
2020-03-18,30.42458333333333,26.9375,47.46875,45.25,30.4209375,30.391249999999992,9.985,39.125,207.74193548387098
2020-03-19,30.248965517241388,40.37837837837838,46.432432432432435,79.75675675675676,30.244687500000012,30.217837837837855,7.19972972972973,43.7027027027027,70.0
2020-03-20,29.964871794871797,47.297872340425535,56.93617021276596,73.34042553191489,29.931562499999995,29.928723404255308,6.7687234042553195,51.723404255319146,199.34782608695653
2020-03-21,30.276666666666667,21.6875,47.59375,37.71875,30.268437499999997,30.239062499999992,9.985,37.90625,213.125
2020-03-22,30.627916666666653,15.375,38.28125,40.0625,30.622187499999992,30.592812499999997,9.985,30.78125,88.125
2020-03-23,30.231960784313728,33.30508474576271,39.05084745762712,80.52542372881356,30.280000000000005,30.210169491525438,5.4271186440677965,36.74576271186441,130.16949152542372
2020-03-24,30.100370370370364,31.97142857142857,44.31428571428572,63.285714285714285,30.105312499999993,30.068285714285718,9.986285714285714,39.08571428571429,262.94117647058823
2020-03-25,30.060937499999987,34.075,42.775,71.575,30.06749999999999,30.03175,9.988,39.15,65.75
2020-03-26,29.964166666666667,32.5,47.34375,57.6875,29.965,29.933750000000007,9.985,41.0,202.25806451612902
2020-03-27,29.865416666666672,34.78125,57.375,47.65625,29.861875000000005,29.829687500000002,9.985,47.03125,180.0
2020-03-28,30.078709677419347,38.205128205128204,46.256410256410255,75.53846153846153,30.080312499999984,30.04717948717948,7.588974358974358,42.717948717948715,54.87179487179487
2020-03-29,29.93425000000001,43.229166666666664,45.458333333333336,92.02083333333333,29.936250000000005,29.90395833333331,1.8475,44.520833333333336,49.791666666666664
2020-03-30,29.952222222222222,40.11363636363637,45.77272727272727,80.79545454545455,29.942812500000002,29.91863636363637,9.708409090909091,43.22727272727273,66.36363636363636
2020-03-31,29.993333333333343,35.05263157894737,43.89473684210526,71.6842105263158,29.99218750000001,29.9621052631579,9.198947368421052,40.078947368421055,88.94736842105263
2020-04-01,29.796551724137935,28.16216216216216,45.945945945945944,52.108108108108105,29.78687500000001,29.762972972972985,9.987027027027027,38.5945945945946,169.45945945945945
2020-04-02,29.672083333333333,28.09375,49.25,44.84375,29.671875000000007,29.640937500000007,9.985,40.3125,326.5625
2020-04-03,29.695000000000004,38.375,49.59375,65.6875,29.69125,29.659999999999997,9.985,44.4375,287.8125
2020-04-04,29.97785714285714,40.166666666666664,50.888888888888886,67.80555555555556,29.974999999999998,29.94444444444445,9.543611111111112,45.69444444444444,82.77777777777777
2020-04-05,30.01000000000001,43.40625,52.90625,71.3125,30.01000000000001,29.978125000000013,9.72,48.34375,113.4375
2020-04-06,29.986666666666675,32.483870967741936,55.645161290322584,46.516129032258064,29.986774193548392,29.95612903225806,9.616129032258064,45.354838709677416,244.19354838709677
2020-04-07,29.847199999999997,30.727272727272727,57.39393939393939,38.21212121212121,29.852499999999996,29.81939393939394,9.985454545454544,45.63636363636363,234.84848484848484
2020-04-08,29.559705882352937,45.46341463414634,53.36585365853659,75.65853658536585,29.56967741935484,29.530243902439025,8.244390243902439,49.292682926829265,91.53846153846153
2020-04-09,29.317142857142862,40.80952380952381,52.54761904761905,67.02380952380952,29.36645161290323,29.291666666666657,9.100714285714284,47.11904761904762,230.73170731707316
2020-04-10,29.464615384615392,26.264705882352942,44.26470588235294,50.44117647058823,29.467812500000008,29.430588235294117,9.868235294117646,37.14705882352941,287.05882352941177
2020-04-11,29.908749999999998,18.9375,48.03125,32.46875,29.903750000000002,29.873125,9.985,37.09375,288.38709677419354
2020-04-12,30.128333333333334,34.875,53.5,51.28125,30.1246875,30.095937499999994,9.985,45.1875,145.625
2020-04-13,29.686458333333338,52.94642857142857,58.5,83.30357142857143,29.734516129032265,29.66178571428572,5.370363636363636,55.357142857142854,193.57142857142858
2020-04-14,30.006250000000005,29.625,52.34375,42.90625,30.00156250000001,29.972500000000007,9.985,42.5625,270.9375
